Title,Study Identification ,Country,Setting,Study Period,Treatment Regimen,Sample Size,Age Range,Gender,Asexual Parasite Density,Sexual Parasite Density,Artemisinin Resistance Status,Sexual/asexual Ratio,Resistance Stratified Analysis,Gametocyte Carriage Rate,Follow-up Duration,Detection Method,Study Quality/Notes,Quality Scoring (Poor/Moderate/Good),Grading (/18),Justification 
Nonrandomized Controlled Trial of Artesunate plus Sulfadoxine-Pyrimethamine with or without Primaquine for Preventing Posttreatment Circulation of Plasmodium falciparum Gametocytes,Shah 2013,India,"Multiple sites across western India (Gujarat, Mumbai, Rajasthan), central India (Andhra Pradesh, Chhattisgarh, Gadchiroli, Jharkhand, Madhya Pradesh, Orissa), and northeast India (Assam, Meghalaya, West Bengal), varying transmission intensities",2009-2010,Artesunate-Sulfadoxine-Pyrimethamine (AS?SP) vs Artesunate-Sulfadoxine-Pyrimethamine (AS?SP) + Primaquine (0.75 mg/kg on day 3),"1,372 (1,335 completed follow-up)","1+ years (0-4 years, 5-9 years, 10-14 years, 15-49 years, ?50 years)","- No primaquine group: 63.7% male, 36.3% female
- Primaquine group: 49.4% male, 50.6% female",Not mentioned (the paper does not provide specific values or timepoints for asexual parasite density),Not mentioned (the paper provides prevalence data but not specific gametocyte density values),Not mentioned (the paper does not discuss artemisinin resistance or related molecular markers),"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: Not explicitly mentioned
- Peak: Not explicitly mentioned
- Post-treatment: 5% at end of follow-up (microscopy)","28 days; Days 0,1,2,3,7,14,21,28",Microscopy; Microscopy,"Non-randomised controlled trial, good follow-up (less than 3% missing data), monoinfections of P. falciparum, microscopy used for gametocytemia measurement (less sensitive), retrospective analysis of primaquine use, potential confounding due to unmeasured causes, reliance on gametocyte presence as proxy for infectiousness",,,
Preferential transmission of minority and drug-resistant clones in polyclonal infections in Mali,Vanheer 2025,Mali,"South-Western Mali, Ouélessébougou Clinical Research Unit of the Malaria Research and Training Centre of the University of Bamako (Bamako, Mali), intense malaria transmission with high SP resistance and persistent chloroquine resistance",2019,"Dihydroartemisinin-Piperaquine, Pyronaridine-Artesunate; 3 days, with re-treatment of Dihydroartemisinin-Piperaquine at day 21",50 (49 completed follow-up at day 2),Not mentioned (no information on age range is included in the paper),Not reported,"Baseline: 396.77 parasites/?L (IQR 54.15-1931.89), RT-qPCR; Day 2: declined 249-fold; Day 7: declined 1,240-fold","- Baseline: 77.33 gametocytes/?L (RT-qPCR)
- Day 2: 1.2-fold lower than baseline
- Day 7: 1.8-fold lower than baseline",0% K13 mutations; no artemisinin partial resistance reported in Mali,"Baseline: 0.195 (calculated from densities, Day 0)",Yes,"- Baseline: 100% (50/50, microscopy and RT-qPCR)
- Post-treatment: Not explicitly quantified, but gametocyte densities showed a slow decline","49 days; Days 0, 2, 7, 14, 28",RT-qPCR (SBP1); RT-qPCR (PfCCP4 and PfMGET),"- Study design: Observational study with 50 asymptomatic participants.
- Infections: Polyclonal with high genetic diversity.
- Limitations: Failure to amplify parasite DNA in some midguts, use of insectary-reared mosquitoes, limited genomic analysis.",,,
Effectiveness and safety of 3 and 5 day courses of artemether-lumefantrine for the treatment of uncomplicated falciparum malaria in an area of emerging artemisinin resistance in Myanmar,Kyaw Myo Tun 2015,Myanmar,"Kayin State, Kyainseikgyi Township (rural, emerging artemisinin resistance)",November 2013 - February 2015,Artemether-Lumefantrine (AL) 3 days vs Artemether-Lumefantrine (AL) 5 days; Primaquine 0.25 mg/kg single dose,154 (141 completed 42-day follow-up),6 months to 65 years,"96 males, 58 females (62.3% male, 37.7% female)",Baseline: 3084 (1752–5430) parasites/?L geometric mean (microscopy) for AL3; 2140 (1269–3610) parasites/?L geometric mean (microscopy) for AL5,"Baseline: 22% AL3, 21% AL5
Day 3: 8% AL3, 13% AL5
Day 7: 0% AL3, 1.4% AL5
Detection method: Microscopy",46% K13 mutations; 2.9% recrudescence rate; 20% delayed parasite clearance on day 3,"Not calculable (prevalence data only, no densities provided)",Yes (but limited),"- Baseline: 21.8% (17/78, microscopy) for AL3; 21.1% (16/76, microscopy) for AL5
- Day 3: 8% (6/75, microscopy) for AL3; 13% (9/72, microscopy) for AL5
- Day 7: 1.4% (1/71, microscopy) for AL5","42 days; Days 3, 5, 6, 7, 14, 21, 28, 35, 42",Microscopy + uPCR; Microscopy,"RCT, good follow-up, density data available, multiple treatment arms, ultrasensitive PCR used for parasite quantitation, primarily monoinfections",,,
Delayed Parasite Clearance after Treatment with Dihydroartemisinin-Piperaquine in Plasmodium falciparum Malaria Patients in Central Vietnam,Thriemer 2014,Vietnam,"Quang Nam Province, Tra Leng commune, North Tra My district, central Vietnam, emerging artemisinin resistance",September 2012 - February 2013,"Dihydroartemisinin-Piperaquine (DHA-PPQ), 4 mg/kg DHA + 32 mg/kg PPQ on day 0, 2 mg/kg/day DHA + 17 mg/kg/day PPQ on days 1 and 2",95 (88 completed 42-day follow-up),1-60 years,"55.8% male, 44.2% female","Baseline: 8,233 parasites/?L geometric mean (microscopy)","Baseline: 6.2 gametocytes/?L (geometric mean [95% CI: 3.2–11.9]), Day 0; Prevalence: 18% Day 0, 44.4% Day 7 (microscopy)",80.7% K13 543 mutations; median clearance half-life: 6.2 hours; 30% parasitemic on day 3 indicating suspected resistance; low recrudescence rate (2 cases),"Baseline: 0.00075 (calculated from densities, Day 0)",Yes,"- Baseline: 18.9% (microscopy, n=95)
- Day 7: 44.4% (microscopy, n=18)","42 days; Days 0, 1, 2, 3, 7, 14, 21, 28, 35, 42",Microscopy; Microscopy + qPCR,"Observational study with 42-day follow-up, direct observation of treatment, comprehensive data collection (genotyping, qPCR, in vitro sensitivity testing), high follow-up rate (89/95), single treatment arm (limitation), ethical approval, external quality control for microscopy",,,
"Therapeutic efficacy and safety of artemether-lumefantrine for uncomplicated Plasmodium falciparum malaria treatment in Metehara, Central-east Ethiopia",Tesfaye 2024,Ethiopia,"Oromia Region, Metehara Health Centre, high transmission",November 2020 - March 2021,"Artemether-Lumefantrine (20 mg + 120 mg), administered twice daily for 3 days, totaling 6 doses, with weight-based dosing: 1 tablet for 5 to < 15 kg, 2 tablets for 15 to < 25 kg, 3 tablets for 25 to < 35 kg, and 4 tablets for ? 35 kg",80 (73 completed follow-up),17.7 years (8 months - 65 years),"50 males, 30 females (62.5% male, 37.5% female)","Baseline: 10,627 ± 20,736.7 asexual parasites/?L (microscopy); Day 2: cleared (microscopy)",Baseline: 6.3% prevalence; Day 2: 2.5% prevalence; Day 3: 2.5% prevalence; Day 7: 2.5% prevalence; Day 28: 0% prevalence (microscopy),0% K13 mutations; 0% phenotypic resistance; fully sensitive population,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 6.3% (5/80, likely microscopy)
- Day 2: 2.5%
- Day 3: 2.5%
- Day 7: 2.5%
- Post-treatment: Complete clearance after Day 7","28 days; Days 0, 1, 7, 14, 21, 28",Microscopy; Microscopy,"Single-arm trial, 100% cure rate, nonrandom convenience sampling, minimal sample size, limited duration (28 days), no molecular analysis for resistance, no drug blood concentration measurement, no hemoglobin level measurement during follow-up",,,
Pyronaridine-artesunate and artemether-lumefantrine for the treatment of uncomplicated Plasmodium falciparum malaria in Kenyan children: a randomized controlled non-inferiority trial,Roth 2018,Kenya,"Western Kenya, St. Jude's Clinic, Mbita (rural, malaria transmission)","October 2015 - June 2016, January 2017 - August 2017","Pyronaridine-artesunate vs Artemether-lumefantrine, both dosed according to body weight for 3 days",197 (177 completed follow-up),6 months to ? 12 years,"- Pyronaridine-artesunate group: 53 males, 48 females
- Artemether-lumefantrine group: 48 males, 48 females","Baseline: 24,420.6 parasites/?L geometric mean (microscopy); 23,672.5 parasites/?L geometric mean (microscopy)","Baseline: 1.98% prevalence (PA), 4.17% prevalence (AL), microscopy
Day 7: 3.00% prevalence (PA), 1.09% prevalence (AL), microscopy","Not mentioned (the paper does not provide specific data on artemisinin resistance status, molecular markers, or phenotypic resistance indicators)","Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 1.98% (microscopy, n=101) for pyronaridine-artesunate; 4.17% (microscopy, n=96) for artemether-lumefantrine
- Day 7: 3.00% (microscopy, n=101) for pyronaridine-artesunate; 1.09% (microscopy, n=96) for artemether-lumefantrine","42 days; Days 0, 1, 2, 3, 7, 14, 28, 42",Microscopy; Microscopy,"RCT, good follow-up (89.8%), limited by reduced sample size and outpatient setting, monoinfections only",,,
Extended malaria parasite clearance time in African children following artemisinincombination therapy enhances transmission to Anopheles mosquitoes,Beshir 2012,Kenya,"Western Kenya, Mbita (no specific transmission context mentioned)",Not mentioned (no information on study period or enrollment dates is included in the paper),Artemether-Lumefantrine vs Dihydroartemisinin-Piperaquine,298 (no specific completed follow-up number mentioned),children (no specific age range provided),Not reported (no information on gender distribution is included in the paper),Not mentioned (the paper does not provide specific asexual parasite density data),Not mentioned (no specific data on gametocyte density or prevalence is included in the paper),"Not mentioned (the paper does not provide specific data on artemisinin resistance status, molecular markers, or phenotypic resistance)","Not calculable (prevalence data only, no densities provided)",No,Not mentioned (the paper does not provide specific gametocyte carriage rates at any timepoints),Variable; Day 3 (specific timepoint mentioned),Microscopy + qPCR; Quantitative nucleic acid sequence-based amplification,"RCT, good follow-up, density data available, robust detection methods",,,
"Therapeutic efficacy of fixed dose artesunatemefloquine for the treatment of acute, uncomplicated Plasmodium falciparum malaria in Kampong Speu, Cambodia",Leang 2010,Cambodia,"Kampong Speu Province, Oral district, southwest Cambodia (rural/community-based, ongoing transmission)",2010,ASMQ (Artesunate-Mefloquine) 3 days,45 (45 completed follow-up),22 years (7-56 years),"38 males, 7 females (84.44% male, 15.56% female)","Baseline: 15,778 parasites/?L (microscopy); Day 3: 11.1% positive (microscopy)",Prevalence: 0% Day 0 to 21 and 35 and 42; 9.1% Day 28 (microscopy),"- Phenotypic resistance: Day 3 positivity rate exceeded WHO cut-offs, indicating reduced artemisinin sensitivity.
- Molecular markers: Not mentioned (K13 mutations not reported).
- Population resistance prevalence: Not quantified due to small sample size.
- Individual patient resistance status: Not available.","Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 0% (0/45, detection method not specified)
- Peak carriage rate: 9.1% (4/44, detection method not specified) on Day 28","42 days; Days 0,1,2,3,7,14,21,28,35,42",Microscopy; Microscopy,"Single-arm trial, small sample size (45 patients), 42-day follow-up, PCR-corrected efficacy analysis, limited tolerability data collection, no Pfmdr-1 copy number data",,,
Artemisinin-naphthoquine combination (ARCO™) therapy for uncomplicated falciparum malaria in adults of Papua New Guinea: A preliminary report on safety and efficacy,Hombhanje 2009,Papua New Guinea,"Papua New Guinea, Port Moresby and Madang, moderate to high transmission",June 2005 - July 2006,ANQ (Artemisinin-Naphthoquine) single dose; CQ+SP (Chloroquine plus Sulphadoxine-Pyrimethamine) 3 days,130 (94 completed follow-up),14-60 years,"- Male: 27
- Female: 24
in ANQ group;
- Male: 25
- Female: 24
in CQ+SP group","Baseline: 22,228.1 ± 34,567.2 parasites/?L (ANQ), 19,761.9 ± 36,888.5 parasites/?L (CQ+SP), Day 0, microscopy","- Baseline: Prevalence 6% (3/51 in ANQ, 3/49 in CQ+SP), detection method: microscopy
- Post-treatment: Prevalence 12% in ANQ, 41% in CQ+SP, detection method: microscopy
- No specific gametocyte density data available","Not mentioned (the paper does not provide specific data on artemisinin resistance status, including molecular markers or phenotypic resistance indicators)","Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 6% (6/100, microscopy)
- Peak: Not explicitly mentioned
- Post-treatment: ANQ - 12% (6/51), CQ+SP - 41% (20/49)","28 days; Days 0, 1, 2, 3, 7, 14, 21, 28",Microscopy; Microscopy,"RCT, good follow-up (94%), monoinfections with P. falciparum, no serious adverse events reported",,,
Therapeutic Efficacy of Artemether-Lumefantrine for Uncomplicated Falciparum Malaria in Northern Zambia,Ippolito 2020,Zambia,"Luapula Province, Nchelenge district, high transmission",December 2014 - July 2015,"Artemether-Lumefantrine (AL), standard 6-dose regimen: administered at 0, 8, 24, 36, 48, and 60 hours; dosing guidelines: 5 to < 15 kg: one tablet per occasion; 15 to < 25 kg: two tablets per occasion","100 (94 completed parasite clearance, 81 completed 5-week follow-up)",6-59 months (children only),"50% male, 50% female","Baseline: 13,000 parasites/?L geometric mean (microscopy); Day 72: 0 parasites/?L (microscopy)","Prevalence: 13% Day 0, 12% Day 1, 4% Day 2, 3% Day 3, 2% Day 7, 0% Days 14, 21, 28, and 35 (microscopy)",27% atp6 431K mutation; median clearance half-life: 2.7 hours; no K13 mutations; no phenotypic resistance,"Not calculable (prevalence data only, no densities provided)",Yes,"- Baseline: 13% (12/100, microscopy)
- Peak: Not explicitly mentioned
- Post-treatment: By 30 hours, most cleared; at 7 days, 1 participant remained gametocytemic; at 14 days, 3 participants still had gametocytemia","35 days; Days 0, 6 hours intervals up to 48 hours, 72 hours, 7 days, 14, 21, 28, 35",Microscopy; Microscopy,"Single-arm trial, high efficacy (98.8%), monoinfections only, high loss to follow-up (19%), limitations in evaluating mdr1 copy number variation",,,
Efficacy of dihydroartemisinin/piperaquine and artesunate monotherapy for the treatment of uncomplicated Plasmodium falciparum malaria in Central Vietnam,Rovira-Vallbona 2020,Vietnam,"Gia Lai Province, Chu R'Cam commune, Krong Pa district (rural, suspected partial artemisinin resistance)",April 2015 - January 2017,"- Dihydroartemisinin-Piperaquine: 4 mg/kg/day for 3 days
- Artesunate monotherapy: 4 mg/kg/day for 3 days, followed by Dihydroartemisinin-Piperaquine",60 (57 completed 42-day follow-up),8-45 years (eligibility criteria),"51:8 (86.4% male, 13.6% female)","- Baseline: 10,166 parasites/?L (5,311–19,459), microscopy (DHA/PPQ arm); 15,832 parasites/?L (8,454–29,650), microscopy (AS + DHA/PPQ arm)",Prevalence: 76.0% Day 0 (RT-qPCR),"- Molecular markers: 87% K13 mutations; 50% KEL1/C580Y mutations
- Phenotypic resistance: Mean clearance half-life: 7.0 hours (dihydroartemisinin/piperaquine), 7.4 hours (artesunate monotherapy)
- Population resistance prevalence: 60% confirmed artemisinin resistance by WHO criteria
- Individual patient resistance status: Not specifically detailed for each patient","Not calculable (prevalence data only, no densities provided)",Yes,"Baseline: 76.0% (38/50, RT-qPCR)","42 days; Days 0, 1, 2, 3, 7, 14, 28, 35, 42",Microscopy; RT-qPCR (Pfs25),"Randomized open-label trial, good follow-up (94%), monoinfections, limitations due to sample size and ex vivo assay challenges",,,
"Therapeutic efficacy of artemetherlumefantrine for the treatment of uncomplicated Plasmodium falciparum malaria in Enfranze, north-west Ethiopia",Getnet 2013,Ethiopia,"Amhara Region, Enfranze Health Centre, rural, high transmission",January 2013 - May 2013,"Artemether-Lumefantrine, 3 days, twice daily",80 (80 completed 28-day follow-up),Above 6 months of age (eligibility criteria),"46 males, 34 females (57.5% male, 42.5% female)","Baseline: 7,898 parasites/?L median (IQR 6,360–8,742, microscopy);
Day 1: 73.75% cleared;
Day 2: 91.25% cleared;
Day 3: 94.9% cleared;
Mean parasite clearance time: 33.6 ± 2.16 hours",Prevalence: 10% Day 0; 25% Day 1; 37.5% Day 2; 37.5% Day 3; 0% Day 7 (microscopy),0% K13 mutations; 5% still parasitaemic on day 3; mean clearance half-life: 33.6 hours; fully sensitive population,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 10% (8/80, microscopy)
- Day 7: 0% (all cleared)","28 days; Days 0, 1, 2, 3, 7, 14, 21, 28",Microscopy; PCR,"Single-arm trial, good follow-up (100%), density data available, mono-infections with P. falciparum, ethical approval and informed consent obtained",,,
Changes in the Treatment Responses to Artesunate-Mefloquine on the Northwestern Border of Thailand during 13 Years of Continuous Deployment,Carrara 2009,Thailand,"Northwestern border of Thailand, camps for displaced persons and clinics for migrant workers, seasonal transmission with low and unstable intensity",January 1995 - December 2007,"MAS 3 (Artesunate-Mefloquine) 3 days: Artesunate 4 mg/kg/day for 3 days, Mefloquine 25 mg base/kg","3,264 (2,639 completed 42-day follow-up)",Children under 15 years; Adults (no specific age range mentioned),"73% male, 27% female (among adults)","Baseline: 6,982 parasites/?L geometric mean (microscopy); Min: 6 parasites/?L; Max: 501,187 parasites/?L",Prevalence: 6.3% on admission; increased from 1.2% in 1995 to 7.2% in 2007 (microscopy),21.9% delayed parasite clearance; 53% pfmdr1 amplification; no K13 mutations mentioned; slight decline in artesunate susceptibility post-2002,"Not calculable (prevalence data only, no densities provided)",Yes,"- Baseline: 6.3% (196/3,109)
- 1995: 1.2% (6/482)
- 2007: 7.2% (10/139)","42 days; Days 0,1,2,3,7,14,21,28,35,42",Microscopy; Microscopy,"Prospective treatment trials with 3,264 patients, PCR genotyping for infection distinction, extended follow-up (42-63 days), low heterogeneity between studies, ethical review, but high dropout rate (19%).",,,
Sustained efficacy of artesunatesulfadoxine-pyrimethamine against Plasmodium falciparum in Yemen and a renewed call for an adjunct single dose primaquine to clear gametocytes,Atroosh 2014,Yemen,"Tehama region, Hodeidah and Al-Mahwit provinces, rural, high transmission",March 2014 - May 2014,"Artesunate-Sulfadoxine-Pyrimethamine (AS + SP), Artesunate: 4 mg/kg/day for 3 days, Sulfadoxine-Pyrimethamine: single dose of 25/1.25 mg/kg on day 0",89 (86 completed follow-up),12.4 years (8 months - 65 years),"40 males, 46 females (46.5% male, 53.5% female)","Baseline: 8,199 parasites/?L mean (microscopy); Day 3: cleared (microscopy)","Prevalence: 40.7% Day 0, 14.5% Day 7, 42.5% Day 14, 86.0% Day 28 (microscopy)",0% K13 mutations; 0% phenotypic resistance; fully sensitive population,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 40.7% (35/86, microscopy)
- Day 7: High carriage rate (microscopy)
- End of follow-up: 14% (microscopy)","28 days; Days 0, 1, 2, 3, 7, 14, 21, 28",Microscopy; Microscopy,"In vivo trial, good follow-up (95.1%), density data available, PCR-corrected, uncomplicated P. falciparum mono-infections, gametocyte clearance evaluated",,,
Assessment of artemisinin tolerance in Plasmodium falciparum clinical isolates in children with uncomplicated malaria in Ghana,Yao 2023,Ghana,"Greater Accra Region, Accra (Princess Marie Louise Children's Hospital), La Nkwantanang-Madina District (Danfa Health Centre), Dodowa (Shai Osudoku District Hospital), seasonal transmission",June 2018 - November 2018,"Artemether-Lumefantrine (AL), dosing according to body weight",115 (85 completed follow-up),6 months to 14 years (children only),"60 males, 55 females (52.2% male, 47.8% female)","Baseline: 39,014 parasites/?L (microscopy); Day 3: cleared (97.6% negative parasitaemia, microscopy)",Not mentioned (no information on gametocyte density or prevalence is included in the paper),7.8% of isolates had >10% ring survival rates against DHA; PfK13 K188* and Pfcoronin V424I mutations present in RSA-positive isolates; 2.4% recrudescence rate on day 3 post-treatment,Not mentioned (no information on gametocyte or asexual parasite densities is provided in the paper),No,Not mentioned (the paper does not provide information on gametocyte carriage rates),"3 days; Day 0, Day 3",Microscopy; Microscopy,"Single-arm trial, good follow-up (73.9%), limited geographical scope, no extended follow-up beyond day 3, limited sample size for some analyses",,,
"Therapeutic efficacy of artemetherlumefantrine in the treatment of uncomplicated Plasmodium falciparum malaria in Arba Minch Zuria District, Gamo Zone, Southwest Ethiopia",Demeke 2024,Ethiopia,"Southwest Ethiopia, Sille Village, Arba Minch Zuria District, Gamo Zone (rural, high transmission)",July 2022 - October 2022,"Artemether-Lumefantrine (AL), 20/120 mg tablet, twice daily for three consecutive days",89 (67 completed 28-day follow-up),25.1 years (18–43 years),"57.3% male, 42.7% female","Baseline: 21,494 parasites/?L geometric mean (microscopy); Day 3: cleared","Baseline: 344 gametocytes/?L (microscopy); 
Prevalence: 13.5% Day 0, 58.3% clearance by Day 7, 100% clearance by Day 14 (microscopy)",Not mentioned (the paper does not provide specific data on artemisinin resistance markers or phenotypic resistance indicators),"Baseline: 0.016 (calculated from densities, Day 0)",No,"- Baseline: 13.5% (12/89)
- Day 7: 58.3% clearance
- Day 14: 100% clearance","28 days; Days 0, 2, 3, 7, 14, 21, 28",Microscopy; Microscopy,"Single-arm prospective study, good follow-up (75.3%), monoinfections only, nPCR genotyping for recurrent cases, limitations include no glutamine-rich protein genotyping and no resistance testing for recrudescent cases, reliance on participant reports for pregnancy status",,,
Spread of Artemisinin Resistance in Plasmodium falciparum Malaria,Ashley 2014,"Multi-country (Cambodia, Thailand, Laos, Vietnam, Myanmar, Bangladesh, India, Nigeria, Kenya, Democratic Republic of Congo)","Multiple sites across Southeast Asia (Cambodia, Thailand, Laos, Vietnam, Myanmar) and Africa (Bangladesh, India, Nigeria, Kenya, Democratic Republic of Congo), with high resistance in eastern Myanmar, western Cambodia, Thailand, and southern Vietnam.",May 2011 - April 2013,"- Artesunate (2 mg/kg/day or 4 mg/kg/day) for 3 days, followed by:
  - Dihydroartemisinin-Piperaquine
  - Artemether-Lumefantrine
  - Artesunate-Sulfadoxinepyrimethamine
  - Artesunate-Mefloquine
- 6-day artesunate regimen plus artemisinin-based combination therapy","1,241 enrolled (no specific number for completed follow-up mentioned)",6 months to 65 years,"74% male, 26% female","Baseline: 10,000 to 200,000 parasites/mm³ (microscopy); No specific peak or timepoint densities provided",Not mentioned (the paper does not provide specific gametocyte density data or units),"- Molecular markers: Kelch13 mutations are associated with artemisinin resistance.
- Phenotypic resistance: Delayed parasite clearance with half-life >5 hours is indicative of resistance.
- Population resistance prevalence: Prevalent across mainland Southeast Asia, particularly in eastern Myanmar, western Cambodia, Thailand, and southern Vietnam.
- Individual patient resistance status: Not provided in detail, but kelch13 mutations are highly predictive of slow clearance.","Not calculable (prevalence data only, no densities provided)",Yes,"- Baseline: 31% in Democratic Republic of Congo, 19% in Pailin, Cambodia, and 18% in Pursat, Cambodia (microscopy)
- Peak carriage rate during follow-up: Additional gametocytemia developed in 48 patients within 24 hours and in another 47 patients between day 1 and day 7
- Resistance-stratified carriage rates: Higher prevalence in sites with slow parasite clearance","- Total duration: 28 days or 42 days
- Specific timepoints: Days 7, 14; additional weekly follow-ups up to 28 or 42 days",Microscopy; Microscopy,"Multi-site open-label trial, good data management and analysis, variable follow-up periods, recruitment targets not met at some sites, high treatment efficacy with PCR correction",,,
Residual Plasmodium falciparum Parasitemia in Kenyan Children After Artemisinin-Combination Therapy Is Associated With Increased Transmission to Mosquitoes and Parasite Recurrence,Beshir 2013,Kenya,"Western Kenya, Mbita Point, coastal region with declining transmission intensity",April 2009 - June 2009,Artemether-Lumefantrine (AL) vs Dihydroartemisinin-Piperaquine (DP),"Not mentioned (the paper does not provide the total number of enrolled patients, only the number of individuals evaluated by qPCR)",6 months-10 years (children only),Not mentioned (no information on gender is included in the paper),"Baseline: Not explicitly mentioned
Peak: Not mentioned
Day 3: Median estimated density of residual parasites was 0.17% (interquartile range, 0.0001-1.54) of the enrollment parasite density (qPCR)",Not mentioned (the paper does not provide specific gametocyte density data),80.7% slow clearance (>3 days); delayed parasite clearance phenotype,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: Microscopic gametocyte carriage at enrollment was significantly more common for children with residual parasitemia on day 3 (P = .006).
- Post-treatment: Children with residual parasitemia on day 3 had a longer duration of gametocyte carriage during the 42-day follow-up period (P = .0007).","42 days; Days 1, 2, 3, 7, 14, 28, 42",qPCR; Pfs25 QT-NASBA,"Randomized, open-label trial, good follow-up, density data available, monoinfections, limitations in distinguishing recrudescent vs. new infections",,,
Therapeutic efficacy and artemisinin resistance in northern Myanmar: evidence from in vivo and molecular marker studies,Myint (after 2014),Myanmar,"Northern Myanmar, Tamu (Indian border), Muse (Chinese border), Tabeikkyin, border region with high resistance",September 2011 - November 2014,"- Artemether-Lumefantrine (AL): 1.3/8 mg/kg twice daily for 3 days
- Artesunate-Mefloquine (AS + MQ): Artesunate 4 mg/kg once daily for 3 days, Mefloquine 15 mg/kg on day 1, 10 mg/kg on day 2
- Dihydroartemisinin-Piperaquine (DP): 2-2.4/16-19.2 mg/kg once daily for 3 days",470 (446 completed follow-up),6 years and above (excluding females 12-17 years),66.7-91.1% male,"- Baseline (Day 0): 5962 parasites/?L geometric mean (range 1079-31,492, microscopy)
- Day 3: 69 parasites/?L geometric mean (range 23-131, microscopy)",Not mentioned (no specific data on gametocyte density is included in the paper),33.7% K13 mutations; 3.1% day-3 positivity; F446I mutation most common (66.0% of mutations); P574L mutation associated with higher day-3 parasitaemia (33%); low impact on treatment efficacy,"Not calculable (prevalence data only, no densities provided)",Yes,Not mentioned (no information on gametocyte carriage rates is included in the paper),"- For AL: 28 days; Days 0, 1, 2, 3, 7, 14, 21, 28
- For AS + MQ and DP: 42 days; Days 0, 1, 2, 3, 7, 14, 21, 28, 35, 42",Microscopy; Microscopy,"Open-label, one-arm, prospective study following WHO protocol for therapeutic efficacy monitoring.
Multiple sentinel sites in northern Myanmar.
Low dropout rate (20 patients out of 470).
PCR-corrected ACPR as primary outcome measure.
Detailed demographic and clinical characteristics provided.
No serious adverse events reported.
Molecular marker analysis for k13 mutations included.
Limitations: inability to sequence k13 genes in all samples due to insufficient blood; once-daily blood collection limited parasite clearance half-life estimation.",,,
Gametocyte clearance dynamics following oral artesunate treatment of uncomplicated falciparum malaria in Malian children,Djimde 2016,Mali,"Bougoula-Hameau, Mali (rural, seasonal transmission)",December 2010 - March 2011,"Artesunate, 4 mg/kg on day 1, 2 mg/kg/day for 6 days","100 (92 completed follow-up), 217 (217 completed follow-up)",1-10 years (children only),Not reported,"Baseline: 2000-200,000 parasites/?L (microscopy)","- Baseline: 29.3 gametocytes/lL (95% CI 18.5-46.6), Day 7: 23.9 gametocytes/lL (95% CI 13.4-42.5), microscopy
- Baseline: 42.7 gametocytes/lL (95% CI 25.8-70.5), Day 7: 73.5 gametocytes/lL (95% CI 42.1-128.1), microscopy",0% K13 mutations; fully sensitive population,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 22.8% (21/92, microscopy)
- Peak: Day 7 - 23.9% (microscopy, n=92)
- Post-treatment: Day 7 - 23.9%, Day 21 - 6.5% (microscopy, n=92)
- Baseline (2002-2004): 6% (13/217, microscopy)
- Peak (2002-2004): Day 1 - 12.4% (microscopy, n=217)
- Post-treatment (2002-2004): Day 1 - 12.4%, Day 21 - 0.5% (microscopy, n=217)","28 days; Days 0, 1, 3, 7, 14, 21, 28",Microscopy; Microscopy,"Single-arm trial, small sample size, reliance on standard microscopy for gametocyte detection, mixed infections included",,,
Population Pharmacokinetic and Pharmacodynamic Modeling of Artemisinin Resistance in Southeast Asia,Das 2017,"Multi-country (Cambodia, Thailand)","Pailin Province, Pailin Referral Hospital (border region, high resistance); Wang Pha, Tak Province, Shoklo Malaria Research Unit (northwestern Thailand, high resistance)",June 2007 - December 2009,Artesunate monotherapy: 2 mg/kg/day for 7 days; Artesunate-Mefloquine: 4 mg/kg/day of artesunate for 3 days followed by mefloquine 15 mg/kg on day 4 and 10 mg/kg on day 5,79 (79 completed follow-up),13.5-38.3 years,Not mentioned (the paper does not provide explicit numbers or percentages for females),"Baseline: 11.4 (0.82) log10 parasites/?L (microscopy) in Pailin, Cambodia; 11.0 (1.01) log10 parasites/?L (microscopy) in Wang Pha, Thailand",Not mentioned (no information on gametocyte density is included in the paper),"- Molecular markers: K13 mutations associated with artemisinin resistance
- Phenotypic resistance: Slower parasite clearance rates
- Population resistance prevalence: 84% in Cambodia, 16% in Thailand",Not mentioned (no specific data on sexual to asexual parasite ratios or densities provided),Yes,Not mentioned (the paper does not provide specific gametocyte carriage rates or percentages at any time point),Variable; Clearance kinetics only,Microscopy; Microscopy,"Open-label randomized clinical trials, moderate sample size (79 patients), detailed pharmacokinetic data collection, ethical approval from multiple committees, development of a nomogram for identifying artemisinin-resistant infections.",,,
